                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.96148,                 2.0112,                 1.0597,                 1.1382,                 3.2398,                 1.0364,                0.64441,                 0.7081,                0.71398,                0.52315,                0.80319,                0.91991,                 0.9237,                0.90966,                 1.0328,                0.93188,               0.070028,              0.0033302,              0.0033302
                      2,                0.82175,                0.93857,                0.95109,                 1.0268,                 1.0777,                0.97381,                0.66957,                0.70291,                0.72371,                0.52382,                 0.8099,                0.88767,                0.93444,                0.95196,                0.92238,                0.97052,               0.039995,              0.0066306,              0.0066306
                      3,                0.86192,                0.95464,                0.97035,                 1.0794,                 1.0883,                 1.0146,                0.66548,                0.71856,                0.71391,                0.50922,                0.84305,                0.92093,                0.96083,                0.98518,                0.98314,                 1.0006,               0.009929,              0.0098979,              0.0098979
                      4,                0.86889,                0.95319,                0.97936,                 1.0897,                 1.0877,                  1.029,                0.69273,                0.75862,                0.77164,                0.56436,                0.79914,                0.78161,                0.94098,                0.92117,                0.82824,                0.98272,              0.0098515,              0.0098515,              0.0098515
                      5,                0.81457,                0.85549,                0.95604,                 1.0106,                0.94917,                0.99596,                0.71485,                0.77911,                0.80724,                0.60369,                0.75787,                0.73948,                0.92416,                0.85055,                0.76408,                0.95321,              0.0098515,              0.0098515,              0.0098515
                      6,                0.78394,                0.80765,                0.94275,                 0.9716,                0.89628,                0.98267,                0.69892,                0.80619,                0.81991,                0.62177,                0.73613,                0.71286,                0.90951,                0.82034,                 0.7324,                0.93611,               0.009802,               0.009802,               0.009802
                      7,                  0.756,                0.77783,                0.93351,                0.94118,                 0.8543,                0.96989,                0.74193,                0.81426,                 0.8321,                0.63869,                0.71277,                0.67531,                0.90756,                0.78813,                0.67296,                0.93114,              0.0097525,              0.0097525,              0.0097525
                      8,                 0.7426,                0.75142,                0.93112,                0.91886,                0.82286,                0.96546,                0.75808,                0.79499,                0.84262,                0.64567,                0.69917,                0.65656,                 0.8974,                0.78321,                0.67158,                0.92169,               0.009703,               0.009703,               0.009703
                      9,                0.73201,                0.72936,                0.92154,                0.90593,                0.79402,                0.95183,                0.75305,                0.82509,                0.85049,                0.65411,                0.69297,                0.63945,                0.89393,                0.77629,                0.65154,                0.92144,              0.0096535,              0.0096535,              0.0096535
                     10,                0.72647,                0.71922,                 0.9213,                0.89722,                0.77378,                 0.9512,                0.78578,                0.81739,                0.86318,                0.66954,                0.68426,                0.63186,                0.89447,                0.75218,                0.62362,                0.92018,               0.009604,               0.009604,               0.009604
                     11,                 0.7126,                0.70303,                0.91745,                0.87169,                0.74811,                0.94693,                 0.7783,                0.83624,                0.87153,                0.67576,                 0.6787,                0.60429,                0.89218,                0.74097,                0.59677,                 0.9141,              0.0095545,              0.0095545,              0.0095545
                     12,                0.70215,                0.68574,                 0.9121,                0.85916,                0.72492,                0.94447,                0.79392,                 0.8319,                0.87833,                0.68219,                0.66547,                0.60085,                0.88849,                 0.7262,                0.58573,                0.90794,               0.009505,               0.009505,               0.009505
                     13,                0.69845,                0.67513,                0.91074,                0.85287,                0.71525,                0.94089,                0.78538,                0.84657,                0.88233,                0.69271,                0.65031,                0.56979,                0.88408,                0.71473,                0.57496,                0.89989,              0.0094555,              0.0094555,              0.0094555
                     14,                0.68897,                0.65565,                0.90898,                0.84122,                0.69807,                0.93361,                0.80227,                0.83783,                0.88533,                0.69526,                0.65094,                0.57076,                0.88635,                0.71521,                0.57718,                0.90487,               0.009406,               0.009406,               0.009406
                     15,                0.68792,                0.65826,                0.90786,                0.84218,                0.69571,                0.93314,                0.80907,                 0.8397,                0.88997,                0.70625,                  0.643,                0.56566,                0.88028,                0.71058,                0.54874,                0.89855,              0.0093565,              0.0093565,              0.0093565
                     16,                0.67759,                0.64836,                0.90334,                0.82954,                0.67734,                0.92489,                 0.7948,                0.84315,                 0.8872,                0.70455,                0.64408,                0.56407,                0.88136,                0.69804,                 0.5541,                  0.894,               0.009307,               0.009307,               0.009307
                     17,                0.67223,                0.63575,                0.90203,                0.81747,                0.66356,                 0.9249,                0.80827,                0.85251,                0.89592,                0.71536,                 0.6348,                0.53966,                0.87568,                0.69088,                0.53276,                0.88905,              0.0092575,              0.0092575,              0.0092575
                     18,                0.66606,                0.62944,                0.89793,                0.81699,                0.66437,                0.92105,                0.81303,                0.85042,                0.90278,                0.71928,                0.62977,                0.53727,                0.87623,                0.68368,                0.52764,                  0.889,               0.009208,               0.009208,               0.009208
                     19,                0.66443,                0.61607,                0.89909,                0.80364,                0.63932,                 0.9217,                0.82814,                0.83536,                0.90059,                0.72109,                0.62216,                0.53799,                 0.8734,                0.67987,                0.52243,                0.89326,              0.0091585,              0.0091585,              0.0091585
                     20,                0.66566,                0.61784,                0.89807,                0.80719,                0.64144,                0.92237,                0.81485,                0.86025,                0.90099,                0.72335,                0.61821,                 0.5247,                0.87091,                  0.671,                0.51906,                0.88852,               0.009109,               0.009109,               0.009109
                     21,                0.65369,                0.60793,                0.89464,                0.79185,                0.62674,                0.91526,                0.81728,                0.85749,                0.90736,                0.72853,                0.61492,                0.52051,                0.87058,                 0.6634,                0.51099,                0.88294,              0.0090595,              0.0090595,              0.0090595
                     22,                 0.6519,                0.60142,                0.89478,                 0.7896,                0.62076,                0.91566,                0.81227,                0.86729,                0.90574,                0.72672,                0.61869,                 0.5176,                0.87195,                0.66937,                0.51517,                0.88381,                0.00901,                0.00901,                0.00901
                     23,                0.64861,                0.59832,                0.89189,                0.78725,                0.61734,                0.90851,                0.83227,                0.85605,                0.91099,                0.73091,                 0.6127,                0.51297,                0.86895,                0.66473,                0.49698,                0.87749,              0.0089605,              0.0089605,              0.0089605
                     24,                0.64889,                0.59437,                0.89184,                0.78298,                0.61299,                0.91186,                0.84746,                0.84392,                0.91368,                0.73806,                 0.6087,                0.51345,                0.86768,                0.65747,                 0.4989,                0.88295,               0.008911,               0.008911,               0.008911
                     25,                0.64181,                0.59065,                0.88935,                0.78031,                0.60734,                0.90689,                  0.822,                0.87037,                0.91434,                0.73855,                0.60548,                0.50341,                0.86668,                0.65375,                0.49063,                0.87809,              0.0088615,              0.0088615,              0.0088615
                     26,                0.64124,                0.58836,                0.89113,                0.77452,                0.60723,                0.91287,                0.83038,                0.87449,                0.91839,                 0.7443,                0.60111,                0.49813,                0.86575,                 0.6487,                0.48695,                0.87993,               0.008812,               0.008812,               0.008812
                     27,                0.63941,                 0.5817,                0.89068,                0.77233,                0.59665,                0.90972,                0.83825,                0.87589,                0.91777,                 0.7458,                0.60024,                0.49416,                0.86479,                 0.6443,                 0.4866,                0.87683,              0.0087625,              0.0087625,              0.0087625
                     28,                0.63896,                0.58129,                0.88912,                0.77134,                0.60034,                0.90908,                0.83361,                0.87883,                 0.9195,                0.74931,                0.59741,                0.49102,                0.86489,                0.64138,                 0.4781,                0.87443,               0.008713,               0.008713,               0.008713
                     29,                0.62921,                 0.5691,                0.88859,                0.75995,                0.58528,                 0.9048,                0.83997,                0.87062,                0.91843,                0.74838,                0.59242,                0.48723,                0.86312,                 0.6367,                0.47982,                0.87106,              0.0086635,              0.0086635,              0.0086635
                     30,                0.63337,                0.57107,                0.88685,                0.76125,                0.58002,                0.90452,                0.85126,                0.86994,                0.92479,                0.75318,                0.59029,                0.48029,                0.86311,                0.63339,                0.46524,                0.87443,               0.008614,               0.008614,               0.008614
                     31,                0.62914,                0.56329,                0.88705,                0.76266,                0.57884,                 0.9022,                0.83402,                0.87065,                0.92077,                0.75303,                0.58622,                0.47849,                 0.8619,                0.62932,                0.47036,                0.87077,              0.0085645,              0.0085645,              0.0085645
                     32,                0.61962,                0.56071,                 0.8832,                0.74646,                0.57185,                0.89806,                0.84282,                0.87188,                0.92082,                 0.7522,                0.58691,                0.48143,                0.86069,                0.62968,                0.47583,                0.87086,               0.008515,               0.008515,               0.008515
                     33,                0.62284,                  0.561,                0.88324,                0.75124,                0.57289,                0.89643,                0.85253,                0.86551,                0.92476,                0.75394,                0.58538,                0.47775,                0.86052,                0.62763,                0.46542,                0.86864,              0.0084655,              0.0084655,              0.0084655
                     34,                0.62359,                0.55711,                0.88509,                0.75407,                0.57096,                0.89981,                0.83958,                0.87207,                0.92587,                0.75685,                0.58313,                0.47305,                0.85993,                0.62587,                0.46491,                0.86769,               0.008416,               0.008416,               0.008416
                     35,                0.62081,                0.54796,                0.88259,                0.74612,                0.55799,                0.89707,                0.84254,                0.87863,                0.92392,                0.75594,                0.57992,                0.47129,                0.85952,                0.62385,                0.46806,                0.86726,              0.0083665,              0.0083665,              0.0083665
                     36,                0.61857,                0.54615,                0.88291,                0.74403,                0.56242,                0.89819,                0.84837,                0.87477,                0.92623,                0.75765,                0.57962,                0.47009,                 0.8595,                 0.6229,                0.46702,                0.86791,               0.008317,               0.008317,               0.008317
                     37,                0.61579,                0.54373,                 0.8794,                0.73958,                0.55339,                0.89323,                0.85375,                0.86652,                0.92692,                0.75936,                0.58248,                0.46703,                0.85869,                0.62343,                0.46152,                0.86546,              0.0082675,              0.0082675,              0.0082675
                     38,                 0.6153,                0.54547,                0.88112,                0.73993,                0.54937,                0.89362,                0.85206,                0.87117,                0.92679,                0.76178,                0.57844,                0.46362,                 0.8587,                0.61734,                0.45948,                0.86532,               0.008218,               0.008218,               0.008218
                     39,                0.60787,                0.54659,                0.88002,                 0.7328,                0.55258,                0.89224,                0.84266,                0.88371,                0.92808,                0.76254,                0.57637,                 0.4632,                0.85857,                0.61506,                0.45774,                0.86435,              0.0081685,              0.0081685,              0.0081685
                     40,                0.60627,                0.53319,                0.87854,                0.73046,                0.53696,                 0.8926,                0.84519,                0.88446,                 0.9285,                0.76324,                0.57346,                0.46114,                0.85851,                0.61356,                0.45479,                0.86533,               0.008119,               0.008119,               0.008119
                     41,                  0.607,                0.53635,                0.87784,                0.73267,                0.54315,                 0.8945,                0.84893,                0.88363,                0.92768,                  0.765,                0.57255,                0.46204,                0.85759,                0.61176,                0.45489,                 0.8677,              0.0080695,              0.0080695,              0.0080695
                     42,                0.60556,                0.53393,                0.87671,                0.72591,                0.53698,                0.89228,                0.85116,                0.87676,                0.92915,                0.76611,                0.57246,                0.45886,                0.85837,                0.61066,                0.45321,                0.86819,                0.00802,                0.00802,                0.00802
                     43,                0.60098,                0.53513,                0.87607,                0.72367,                0.54033,                0.89178,                0.85629,                0.87777,                0.93067,                0.76645,                0.57252,                0.45742,                0.85817,                0.61052,                0.45104,                0.86801,              0.0079705,              0.0079705,              0.0079705
                     44,                0.60053,                0.53085,                0.87667,                0.72294,                0.53569,                0.89386,                0.85055,                0.87892,                0.93001,                0.76572,                0.57248,                0.45678,                0.85877,                 0.6091,                0.45264,                0.86941,               0.007921,               0.007921,               0.007921
                     45,                0.59749,                0.52847,                0.87662,                0.71994,                0.53355,                0.89087,                0.83831,                0.88674,                 0.9305,                 0.7675,                0.57194,                0.45776,                0.85899,                0.60766,                0.45159,                0.86833,              0.0078715,              0.0078715,              0.0078715
                     46,                0.60257,                0.52864,                0.87889,                0.72424,                0.53619,                0.89195,                 0.8404,                0.88291,                0.93031,                0.76607,                 0.5712,                0.45512,                 0.8584,                0.60757,                0.45006,                0.86651,               0.007822,               0.007822,               0.007822
                     47,                0.59432,                0.52342,                0.87515,                0.71619,                0.53185,                0.88862,                0.83729,                0.89033,                0.92932,                0.76592,                0.57002,                0.45278,                0.85772,                0.60646,                0.44972,                0.86544,              0.0077725,              0.0077725,              0.0077725
                     48,                0.59147,                0.52019,                0.87469,                0.71359,                0.52625,                0.88799,                0.84149,                0.88759,                0.93071,                0.76761,                0.56889,                0.45108,                 0.8573,                0.60618,                0.44813,                0.86542,               0.007723,               0.007723,               0.007723
                     49,                 0.5932,                0.51867,                0.87511,                0.71235,                0.52329,                0.88627,                0.84672,                0.88214,                0.93124,                 0.7682,                0.56833,                0.45007,                0.85702,                0.60496,                0.44714,                0.86492,              0.0076735,              0.0076735,              0.0076735
                     50,                0.58927,                0.51421,                0.87424,                0.71279,                 0.5241,                0.88497,                0.85802,                0.87479,                0.93336,                0.76981,                0.56708,                0.44824,                0.85689,                0.60345,                0.44557,                0.86429,               0.007624,               0.007624,               0.007624
                     51,                0.59255,                0.52084,                0.87385,                0.71423,                0.51964,                0.88499,                0.86495,                0.86902,                0.93249,                 0.7703,                0.56497,                0.44699,                0.85599,                 0.6015,                0.44549,                 0.8629,              0.0075745,              0.0075745,              0.0075745
                     52,                0.58409,                0.51106,                 0.8712,                0.70193,                0.50758,                0.88432,                0.86877,                0.86388,                0.93237,                 0.7715,                0.56417,                0.44676,                0.85525,                 0.6009,                0.44668,                0.86236,               0.007525,               0.007525,               0.007525
                     53,                0.58512,                0.50958,                0.87033,                 0.7008,                0.51221,                0.88232,                0.87322,                0.86007,                0.93265,                0.77171,                0.56349,                0.44745,                 0.8551,                0.59956,                0.44612,                0.86212,              0.0074755,              0.0074755,              0.0074755
                     54,                0.58316,                0.51046,                0.87155,                 0.7008,                0.51577,                0.88136,                0.87767,                 0.8577,                0.93383,                0.77243,                0.56373,                0.44723,                0.85536,                0.59913,                 0.4443,                 0.8622,               0.007426,               0.007426,               0.007426
                     55,                0.58636,                0.50799,                0.87323,                0.70289,                0.50721,                0.88407,                0.86787,                0.86202,                0.93279,                0.77215,                0.56336,                0.44735,                0.85495,                0.59866,                0.44699,                0.86192,              0.0073765,              0.0073765,              0.0073765
                     56,                0.58279,                0.50394,                0.86989,                0.70128,                0.50426,                 0.8818,                0.87277,                0.86364,                0.93408,                0.77254,                0.56287,                0.44689,                 0.8548,                 0.5982,                0.44576,                0.86158,               0.007327,               0.007327,               0.007327
                     57,                0.57849,                0.50218,                0.86966,                 0.6958,                0.50062,                0.88386,                0.87237,                0.86592,                0.93367,                0.77322,                0.56267,                0.44663,                0.85465,                0.59801,                0.44486,                0.86168,              0.0072775,              0.0072775,              0.0072775
                     58,                0.57982,                0.49666,                0.87074,                0.69298,                0.48976,                0.88239,                0.87045,                0.86738,                 0.9338,                0.77287,                0.56235,                0.44604,                0.85455,                0.59766,                0.44304,                0.86156,               0.007228,               0.007228,               0.007228
                     59,                0.57612,                0.49748,                0.87103,                0.69418,                0.49333,                0.88333,                0.86911,                0.87045,                0.93507,                0.77329,                 0.5621,                  0.446,                0.85476,                0.59746,                0.44132,                0.86157,              0.0071785,              0.0071785,              0.0071785
